Item,Year,Value
Buckwheat,2015,1522011
"Broad beans, horse beans, dry",2014,1533690
Roots and tubers nes,2014,1592166
"Broad beans, horse beans, dry",2015,1596460
Roots and tubers nes,2015,1601314
Buckwheat,2017,1619482
Roots and tubers nes,2016,1625125
Castor oil seed,2017,1626804
Roots and tubers nes,2017,1642809
Oats,2018,1648982
Roots and tubers nes,2018,1664483
"Broad beans, horse beans, dry",2016,1719347
Rye,2015,1752822
Rye,2017,1766164
Oats,2015,1797305
Chestnut,2015,1808670
Castor oil seed,2015,1818301
Apricots,2014,1820573
Pulses nes,2017,1821354
Chestnut,2014,1843167
Pulses nes,2018,1850130
Oats,2017,1856285
"Broad beans, horse beans, dry",2017,1894285
"Broad beans, horse beans, dry",2018,1895012
Pulses nes,2016,1916905
Castor oil seed,2014,1935591
Ginger,2014,1992352
Spices nes,2015,2015846
Pulses nes,2015,2020895
Chestnut,2016,2038037
Pulses nes,2014,2040014
Lentils,2014,2044450
Chestnut,2017,2067041
"Cashew nuts, with shell",2014,2085003
Chestnut,2018,2112252
Lentils,2015,2145461
Ginger,2015,2187018
Sesame seed,2017,2202391
"Walnuts, with shell",2016,2209968
Kiwi fruit,2014,2214968
Spices nes,2014,2218703
Lentils,2016,2221538
"Walnuts, with shell",2014,2224613
Taro (cocoyam),2015,2245415
Taro (cocoyam),2014,2247315
Sesame seed,2016,2247525
Sesame seed,2018,2257030
Taro (cocoyam),2016,2268986
Apricots,2018,2275653
Ginger,2018,2277047
Kiwi fruit,2016,2280655
Taro (cocoyam),2017,2293388
"Walnuts, with shell",2017,2295628
"Cashew nuts, with shell",2016,2303349
Spices nes,2016,2303953
Taro (cocoyam),2018,2310513
"Walnuts, with shell",2018,2348105
Apricots,2015,2351709
Kiwi fruit,2017,2359251
"Peas, dry",2016,2368803
"Peas, dry",2015,2375862
Kiwi fruit,2018,2400981
"Onions, shallots, green",2015,2411657
"Walnuts, with shell",2015,2414770
"Onions, shallots, green",2016,2417487
Olives,2018,2450847
Ginger,2017,2454201
Sesame seed,2015,2456449
"Peas, dry",2014,2478859
"Onions, shallots, green",2017,2520404
Kiwi fruit,2015,2524695
"Onions, shallots, green",2018,2535512
"Cashew nuts, with shell",2015,2542180
Sesame seed,2014,2583357
"Onions, shallots, green",2014,2608691
Apricots,2017,2616154
Olives,2016,2665614
Ginger,2016,2672717
Spices nes,2017,2673366
"Chillies and peppers, dry",2014,2679005
"Chillies and peppers, dry",2016,2689358
Olives,2014,2709467
Spices nes,2018,2710669
Olives,2015,2718574
"Coffee, green",2014,2728231
Lentils,2017,2733629
"Peas, dry",2018,2775276
"Coffee, green",2015,2804024
"Coffee, green",2016,2838307
"Chillies and peppers, dry",2015,2848057
"Peas, dry",2017,2852081
"Coffee, green",2017,2919237
Apricots,2016,2946692
Lentils,2018,2994358
"Chillies and peppers, dry",2018,3019423
Oilseeds nes,2014,3053174
Olives,2017,3065533
"Coffee, green",2018,3066416
Pigeon peas,2016,3205409
Jute,2015,3251617
Oilseeds nes,2015,3280620
"Chillies and peppers, dry",2017,3304174
Jute,2016,3307565
Oilseeds nes,2016,3314736
"Cashew nuts, with shell",2017,3318361
Strawberries,2014,3365605
Jute,2014,3386190
Pigeon peas,2015,3430219
Jute,2017,3523206
Strawberries,2016,3572607
Oilseeds nes,2017,3589553
Jute,2018,3624622
Oilseeds nes,2018,3628241
Strawberries,2015,3642514
Strawberries,2017,3749371
Pigeon peas,2014,3762998
Persimmons,2016,3812385
Persimmons,2015,3820373
Strawberries,2018,3889105
Persimmons,2017,3893425
"Cashew nuts, with shell",2018,3900035
"Tobacco, unmanufactured",2018,3926218
Persimmons,2014,3971141
Dates,2014,3984935
Persimmons,2018,4008231
"Tobacco, unmanufactured",2017,4024516
"Tobacco, unmanufactured",2016,4188875
Dates,2015,4328716
"Tobacco, unmanufactured",2015,4369861
Dates,2016,4592104
Dates,2017,4636749
Tea,2014,4670179
"Tobacco, unmanufactured",2014,4729004
Dates,2018,4756204
Plantains and others,2016,4830771
Plantains and others,2014,4860519
Plantains and others,2017,4964846
Tea,2016,4979957
Pigeon peas,2018,4983699
Tea,2015,4988709
Plantains and others,2015,5004427
Plantains and others,2018,5113644
Tea,2017,5205200
Tea,2018,5434370
Grapefruit (inc. pomelos),2014,5488519
Pigeon peas,2017,5686583
Sunflower seed,2014,5894971
Sunflower seed,2016,5958323
Sunflower seed,2015,6004533
Okra,2015,6044124
Grapefruit (inc. pomelos),2015,6130236
Okra,2016,6210475
Sunflower seed,2017,6215205
Sunflower seed,2018,6223393
Okra,2017,6383327
Cereals nes,2018,6401381
Grapefruit (inc. pomelos),2016,6415252
Grapefruit (inc. pomelos),2017,6504047
Okra,2018,6509336
Papayas,2015,6531354
Okra,2014,6778120
Mushrooms and truffles,2014,6781692
Grapefruit (inc. pomelos),2018,6860971
Cereals nes,2017,6946078
Mushrooms and truffles,2017,6956812
Asparagus,2014,6962295
Lemons and limes,2014,7013699
"Fruit, citrus nes",2014,7014386
Mushrooms and truffles,2018,7031724
Mushrooms and truffles,2015,7038694
Lemons and limes,2016,7052944
Mushrooms and truffles,2016,7087944
"Fruit, citrus nes",2015,7122831
Sorghum,2016,7131626
Lemons and limes,2017,7155003
Lemons and limes,2015,7195830
Papayas,2014,7239998
Papayas,2016,7326696
Plums and sloes,2014,7523030
"Fruit, citrus nes",2017,7591009
Papayas,2017,7619263
Asparagus,2015,7634364
"Fruit, citrus nes",2016,7635402
Papayas,2018,7651737
Plums and sloes,2015,7690989
"Fruit, citrus nes",2018,7763290
Asparagus,2016,7771212
Plums and sloes,2016,7848048
Asparagus,2017,7913840
Sorghum,2018,7973788
Cereals nes,2016,8029185
Plums and sloes,2017,8044374
Asparagus,2018,8058601
Plums and sloes,2018,8184840
Sorghum,2017,8247801
Lemons and limes,2018,8288803
Chick peas,2016,8767952
Chick peas,2015,9061095
Sorghum,2015,9216926
Sorghum,2014,9497871
Chick peas,2017,10816837
Pineapples,2016,10932517
Pineapples,2014,11031835
Pineapples,2015,11239200
Chick peas,2014,11362822
Pineapples,2018,11672846
Pineapples,2017,11786666
"Rubber, natural",2015,11840305
"Beans, dry",2014,11889352
"Rubber, natural",2014,11952550
"Rubber, natural",2016,12010158
"Beans, dry",2015,12298046
"Rubber, natural",2017,12574944
Millet,2016,12792364
"Rubber, natural",2018,12844441
Chick peas,2018,13228327
"Beans, dry",2016,13889135
Millet,2018,14381318
"Beans, dry",2018,14605780
Millet,2017,14682988
Millet,2015,14685565
"Beans, dry",2017,14829666
Millet,2014,14836545
"Peas, green",2014,14902482
Peaches and nectarines,2014,15266654
"Pumpkins, squash and gourds",2014,15714583
"Pumpkins, squash and gourds",2015,16025612
"Pumpkins, squash and gourds",2016,16479372
Peaches and nectarines,2015,16522158
Lettuce and chicory,2014,16785672
"Peas, green",2015,16794805
"Pumpkins, squash and gourds",2017,16903636
Peaches and nectarines,2016,16997969
"Pumpkins, squash and gourds",2018,17133483
"Peas, green",2016,17360008
Peaches and nectarines,2017,17457143
Lettuce and chicory,2015,17825278
Pears,2016,17943540
"Melons, other (inc.cantaloupes)",2015,18033086
Peaches and nectarines,2018,18038335
Pears,2018,18143606
Lettuce and chicory,2016,18181498
"Peas, green",2017,18291611
"Melons, other (inc.cantaloupes)",2014,18364700
Lettuce and chicory,2017,18483990
Pears,2017,18510187
Pears,2015,18721952
"Peas, green",2018,18780647
"Melons, other (inc.cantaloupes)",2016,18867258
Lettuce and chicory,2018,18890955
Cauliflowers and broccoli,2014,19298574
"Melons, other (inc.cantaloupes)",2017,19302516
Cauliflowers and broccoli,2015,19322575
Cauliflowers and broccoli,2016,19839359
"Beans, green",2014,19857312
"Melons, other (inc.cantaloupes)",2018,19959023
Pears,2014,20233044
Barley,2014,20234012
"Fruit, tropical fresh nes",2017,20249574
"Fruit, tropical fresh nes",2015,20497720
"Fruit, tropical fresh nes",2016,20539923
Cauliflowers and broccoli,2017,20572713
"Fruit, tropical fresh nes",2018,20576803
"Fruit, tropical fresh nes",2014,20615534
Rapeseed,2016,20949744
Barley,2018,20999645
Barley,2016,21045116
"Tangerines, mandarins, clementines, satsumas",2014,21088073
Cauliflowers and broccoli,2018,21107729
Rapeseed,2015,21122348
Barley,2017,21167661
"Beans, green",2015,21310090
"Tangerines, mandarins, clementines, satsumas",2015,21597317
"Beans, green",2016,21730584
"Chillies and peppers, green",2014,21798012
"Tangerines, mandarins, clementines, satsumas",2016,21965526
Rapeseed,2017,22249116
"Beans, green",2017,22328579
"Tangerines, mandarins, clementines, satsumas",2017,22360543
Barley,2015,22451545
"Chillies and peppers, green",2015,22774343
"Beans, green",2018,22923896
Garlic,2014,22955573
Rapeseed,2018,22999430
Spinach,2014,23096576
"Fruit, fresh nes",2014,23110272
"Fruit, fresh nes",2015,23190006
Soybeans,2015,23209093
"Chillies and peppers, green",2016,23503775
Rapeseed,2014,23673615
"Fruit, fresh nes",2018,23947947
"Fruit, fresh nes",2016,24004389
Carrots and turnips,2014,24073684
"Tangerines, mandarins, clementines, satsumas",2018,24135746
"Chillies and peppers, green",2017,24388311
"Fruit, fresh nes",2017,24423847
Spinach,2017,24437287
Garlic,2015,24558189
Spinach,2015,24583039
Garlic,2016,24628890
Oranges,2014,24637095
Spinach,2018,24855243
"Chillies and peppers, green",2018,24991347
Oranges,2015,25258233
Carrots and turnips,2017,25326235
Garlic,2017,25328257
Carrots and turnips,2018,25392073
Soybeans,2014,25418140
Spinach,2016,25516758
Grapes,2014,25591289
Oranges,2016,25797420
"Groundnuts, with shell",2015,25915270
Grapes,2016,25957543
Garlic,2018,26058952
Soybeans,2017,26455183
Oranges,2017,26514143
Grapes,2015,26783639
Grapes,2017,26905971
"Groundnuts, with shell",2016,27045143
Carrots and turnips,2015,27055432
"Groundnuts, with shell",2014,27098380
"Groundnuts, with shell",2018,27224995
Grapes,2018,27373751
Carrots and turnips,2016,27812422
Oranges,2018,28342713
Soybeans,2016,28638032
"Groundnuts, with shell",2017,29555657
Soybeans,2018,30608520
Sugar beet,2015,32135554
Sugar beet,2014,33928124
"Mangoes, mangosteens, guavas",2015,34488128
"Mangoes, mangosteens, guavas",2014,34804753
"Mangoes, mangosteens, guavas",2016,35510962
"Mangoes, mangosteens, guavas",2017,37593344
Sugar beet,2016,39186090
"Mangoes, mangosteens, guavas",2018,40399823
Sugar beet,2017,41442887
Sugar beet,2018,41743674
Seed cotton,2018,44401506
Seed cotton,2015,45451477
Seed cotton,2016,45919490
Eggplants (aubergines),2014,46879296
Eggplants (aubergines),2015,47464707
Eggplants (aubergines),2016,48130409
Seed cotton,2017,48408189
Eggplants (aubergines),2017,49217580
Coconuts,2015,49516141
Coconuts,2016,50421973
Eggplants (aubergines),2018,50628849
Coconuts,2017,50756490
Coconuts,2014,51266076
Apples,2015,51810708
Coconuts,2018,52103802
Seed cotton,2014,52209589
Apples,2018,53523593
Cabbages and other brassicas,2015,53549954
Cabbages and other brassicas,2016,53636212
Cabbages and other brassicas,2014,53767080
Apples,2014,53898128
Cabbages and other brassicas,2018,54007683
Apples,2016,54066770
Cabbages and other brassicas,2017,54073862
Apples,2017,54707997
"Onions, dry",2014,58494431
Sweet potatoes,2017,59150845
Bananas,2016,59457967
Sweet potatoes,2016,59605553
"Onions, dry",2015,59607763
Bananas,2014,60444873
Sweet potatoes,2018,60714489
Bananas,2015,61597646
Bananas,2017,61833400
Sweet potatoes,2015,62035852
"Onions, dry",2016,62647931
Bananas,2018,62648176
Sweet potatoes,2014,63614630
"Onions, dry",2017,64397201
"Onions, dry",2018,65319706
Cucumbers and gherkins,2018,65619556
Cucumbers and gherkins,2014,66687041
Cucumbers and gherkins,2015,68465909
Cucumbers and gherkins,2017,68524409
Cucumbers and gherkins,2016,70513709
Cassava,2018,80637819
Watermelons,2014,81667269
Cassava,2017,82736903
Watermelons,2015,83073150
Watermelons,2016,83806531
Watermelons,2018,84209180
Watermelons,2017,84612691
Cassava,2016,85142517
Cassava,2015,87669934
Cassava,2014,89264529
Tomatoes,2014,101961761
Tomatoes,2015,103120247
Tomatoes,2016,107063576
Tomatoes,2017,111343464
Tomatoes,2018,111683503
Potatoes,2014,175368186
Potatoes,2016,176579254
Potatoes,2015,177219531
Potatoes,2017,184691757
Potatoes,2018,188644711
Oil palm fruit,2016,215654835
Oil palm fruit,2018,230420117
Oil palm fruit,2017,232265025
"Vegetables, fresh nes",2014,246616092
Oil palm fruit,2014,247830244
"Vegetables, fresh nes",2015,250309429
"Vegetables, fresh nes",2016,253748515
"Vegetables, fresh nes",2017,255549960
"Vegetables, fresh nes",2018,257953707
Oil palm fruit,2015,259376741
Maize,2014,303666286
Wheat,2015,320005676
Wheat,2014,320512769
Wheat,2018,328220218
Wheat,2016,328594588
Wheat,2017,335042252
Maize,2015,351998862
Maize,2016,359269281
Maize,2018,361564957
Maize,2017,362993049
Sugar cane,2017,695317470
Sugar cane,2016,711792619
Sugar cane,2015,726024251
Sugar cane,2014,745266335
Sugar cane,2018,751902468
"Rice, paddy",2014,1115627199
"Rice, paddy",2015,1122415230
"Rice, paddy",2016,1129683245
"Rice, paddy",2017,1161838216
"Rice, paddy",2018,1175890799
